Title,Author,Organization,Type,Links
Systems Engineering Transformation using Model Centric Engineering with Digital Signoffs,"Mark Blackburn, Benjamin Kruse, Cliff Whitcomb
Marlin, Ballard, Adam Baker","Stevens Institute of Technology, 
Systems Engineering Research Center (SERC)",,https://drive.google.com/file/d/196LRJOeziiXY1I3CjDL-DYN9eTKrTugd/view?usp=sharing
Connected engineering information for a connected world,"Robert Karban, Chris Delp",Jet Propulsion Laboratory,,https://drive.google.com/file/d/10dd6g7LSJREb1FQxqTOVQKEBmPFf6u4X/view?usp=sharing
Roadmap Concept with OpenMBEE and Cyber Ontology Example,"Mark Blackburn, Tom Hagedorn, Benjamin Kruse, Mary Bone",Stevens Institute of Technology,,https://drive.google.com/file/d/1pv2wt0Tqv2xDi83gBi1Zv6JQPXqdZipL/view?usp=sharing
Model Based Mission Assurance for NASA,"Steven Cornford, Nicholas Waldram, John W. Evans",Jet Propulsion Laboratory,,https://drive.google.com/file/d/16jOTAftEcEXfUtj7NaiJkpELpFhhkxYi/view?usp=sharing
PMM* a modeling and simulation methodology introducing a more preventive approach in (functional systems development,Pascal Paper,Airbus,,https://drive.google.com/file/d/1XZejNYmhHfF7vgkL54-XWOMuVJjai2Hb/view?usp=sharing
Verifying Deadlock and Nondeterminism in Activity Diagrams,Lucas Albertins de Lima,"departamento de computacao ufrpe, br",,https://drive.google.com/file/d/1aUGB_ulcj_4kOId51XZdlZTa4MuZprAK/view?usp=sharing
Interoperable End-to-End Space Communications Architectures Using CCSDS Building Blocks,Peter Shames,Jet Propulsion Laboratory,,https://drive.google.com/file/d/0BzNa1FhIXifbWUVZd2h4OWFhNFlxU1hRZUl1UHQzNXlyMXI4/view?usp=sharing
Thoughts on MDE and Language Engineering,Markus Volter,itemis,,https://drive.google.com/file/d/1vOPZnu_cvB2tfeMmfasQxb0wRMpFM453/view?usp=sharing
Txture,"Matthias Farwick, Ruth Breu, Martin Hausler",txture,,https://drive.google.com/file/d/18ACSxbheeUAGnOBZI4uJ3Z-tZ2hZMGRY/view?usp=sharing
Modeling Launch Vehicles and Payloads,David Kotsifakis,Wallops Flight Facility,,https://drive.google.com/file/d/10F8lDCQ-uCCmzO_00ekGOHax-x42xHMT/view?usp=sharing
LemonTree for OpenMBEE,Daniel Siegl,LieberLieber Software,,https://drive.google.com/file/d/1vAl7DaWKsirT2pPTo_UZABgHlg90YihP/view?usp=sharing
End-to-End Integrated Resource Analysis on Europa Clipper,Erich Lee,Jet Propulsion Laboratory,,https://drive.google.com/file/d/18wpdt48DfuUgcFwS_iYLw0jNX2izrapx/view?usp=sharing
WHY SYSTEMS ENGINEERS SHOULD KNOW ABOUT MODELICA,Hubertus Tummescheit,Modelon US,,https://drive.google.com/file/d/1IObUeGZ6YjPFXT7VTcQGg8DCMNYyp165/view?usp=sharing
Cloud-based Modelling Solutions Empowering Tool Integration,Istvan Rath,IncQuery,,https://drive.google.com/drive/folders/1-FgCTCRSAf5M_WO2NERozQQpaFldiHvJ?usp=sharing
"Rich Context, Direct Manipulation Interfaces, and Sensitive Data in Jupyter",Brian Granger,"Project Jupyter,",,https://drive.google.com/file/d/16xhsJ3EDHonJEjJnDGkhCZ2CHVBYNtF1/view?usp=sharing
Practical Formal Verification Of Model Based Designs,"David Wolfe, Stephen Foster, Eduardo Vaz",QRA,,https://drive.google.com/file/d/1RzpbAguz-So6fx--QHtNz3wEh5yiP804/view?usp=sharing
"Operative, Architecture-Based Technical Knowledge Management",Florian Schummer,Technical University of Munich,,https://drive.google.com/file/d/1jGQzebWIn6keUpAZlj8E0GjH494s-hPX/view?usp=sharing
Publishing federated systems models (digital thread) in OpenMBEE using Syndeia,"Manas Bajaj, Brian Miller",Intercax,Journal,https://drive.google.com/drive/folders/1vD1Jtek-3sqdG6np_8G4iUDZ_mPFcWw9?usp=sharing
Designing and managing software interfaces for the ELT ,"G. Chiozzi, L.Andolfato, M. Kiekebusch, N. Kornweibel, M. Schilling, M. Zamparelli",European Southern Observatory,,https://drive.google.com/file/d/1PyNGB3ELwTG8UF_wSg2vpH0i02H4DiBj/view?usp=sharing
